# Undirected graph: grafo-teste.txt
# Grafo nao direcionado para teste
# Nodes: 50 Edges: 100
# FromNodeId	ToNodeId
0	17
0	38
0	43
0	46
1	2
1	38
1	47
2	14
2	42
2	46
3	7
3	49
4	17
4	24
4	38
4	45
5	6
5	13
5	18
5	34
5	35
5	48
6	14
6	24
6	40
6	47
7	21
7	24
7	40
7	46
8	14
8	15
9	12
9	13
9	16
9	40
10	15
10	23
10	29
10	34
10	40
10	43
10	48
11	32
12	35
12	36
13	36
13	41
13	42
14	26
14	32
14	43
14	49
15	17
16	34
16	35
16	38
16	46
17	21
17	24
17	40
17	44
17	48
18	27
18	40
19	40
20	25
20	31
20	45
20	49
21	48
22	23
23	25
23	39
23	48
24	29
24	38
25	31
27	37
27	38
27	44
28	37
29	33
29	34
29	40
29	41
31	32
32	38
32	48
33	49
34	43
34	44
34	46
35	44
35	47
37	47
41	43
41	45
41	49
43	47
